ts,pair,open,high,low,close
2026-05-18 07:00:00+00:00,GBP_JPY,211.722,211.81,211.503,211.689
2026-05-18 08:00:00+00:00,GBP_JPY,211.691,211.793,211.664,211.767
2026-05-18 09:00:00+00:00,GBP_JPY,211.767,212.234,211.736,212.21
2026-05-18 10:00:00+00:00,GBP_JPY,212.21,212.243,212.049,212.194
2026-05-18 11:00:00+00:00,GBP_JPY,212.194,212.554,212.143,212.461
2026-05-18 12:00:00+00:00,GBP_JPY,212.461,212.484,212.295,212.366
2026-05-18 13:00:00+00:00,GBP_JPY,212.366,212.45,212.112,212.121
2026-05-18 14:00:00+00:00,GBP_JPY,212.121,212.464,212.118,212.458
2026-05-18 15:00:00+00:00,GBP_JPY,212.459,212.71,212.446,212.565
2026-05-18 16:00:00+00:00,GBP_JPY,212.564,212.64,212.415,212.574
2026-05-18 17:00:00+00:00,GBP_JPY,212.574,212.861,212.561,212.746
2026-05-18 18:00:00+00:00,GBP_JPY,212.746,213.228,212.662,213.118
2026-05-18 19:00:00+00:00,GBP_JPY,213.115,213.545,213.083,213.433
2026-05-18 20:00:00+00:00,GBP_JPY,213.433,213.493,213.293,213.293
2026-05-18 21:00:00+00:00,GBP_JPY,213.293,213.321,213.168,213.192
2026-05-18 22:00:00+00:00,GBP_JPY,213.192,213.414,213.167,213.377
2026-05-18 23:00:00+00:00,GBP_JPY,213.376,213.443,213.302,213.374
2026-05-19 00:00:00+00:00,GBP_JPY,213.228,213.277,213.056,213.152
2026-05-19 01:00:00+00:00,GBP_JPY,213.152,213.383,213.152,213.367
2026-05-19 02:00:00+00:00,GBP_JPY,213.367,213.402,213.334,213.379
2026-05-19 03:00:00+00:00,GBP_JPY,213.379,213.471,213.331,213.381
2026-05-19 04:00:00+00:00,GBP_JPY,213.378,213.39,213.222,213.303
2026-05-19 05:00:00+00:00,GBP_JPY,213.303,213.304,213.19,213.265
2026-05-19 06:00:00+00:00,GBP_JPY,213.265,213.28,213.209,213.209
2026-05-19 07:00:00+00:00,GBP_JPY,213.211,213.232,213.124,213.144
2026-05-19 08:00:00+00:00,GBP_JPY,213.144,213.363,213.041,213.347
2026-05-19 09:00:00+00:00,GBP_JPY,213.347,213.347,213.084,213.149
2026-05-19 10:00:00+00:00,GBP_JPY,213.149,213.225,213.029,213.147
2026-05-19 11:00:00+00:00,GBP_JPY,213.147,213.171,212.993,213.127
2026-05-19 12:00:00+00:00,GBP_JPY,213.127,213.317,213.069,213.307
2026-05-19 13:00:00+00:00,GBP_JPY,213.307,213.41,213.184,213.293
2026-05-19 14:00:00+00:00,GBP_JPY,213.293,213.353,213.243,213.285
2026-05-19 15:00:00+00:00,GBP_JPY,213.285,213.503,212.846,213.258
2026-05-19 16:00:00+00:00,GBP_JPY,213.258,213.297,212.964,213.153
2026-05-19 17:00:00+00:00,GBP_JPY,213.153,213.191,212.9,213.031
2026-05-19 18:00:00+00:00,GBP_JPY,213.031,213.25,212.957,213.193
2026-05-19 19:00:00+00:00,GBP_JPY,213.193,213.2,212.643,212.806
2026-05-19 20:00:00+00:00,GBP_JPY,212.806,213.021,212.804,213.008
2026-05-19 21:00:00+00:00,GBP_JPY,213.008,213.173,213.005,213.074
2026-05-19 22:00:00+00:00,GBP_JPY,213.074,213.172,213.074,213.134
2026-05-19 23:00:00+00:00,GBP_JPY,213.13,213.207,213.032,213.041
2026-05-20 00:00:00+00:00,GBP_JPY,213.056,213.102,212.92,213.05
2026-05-20 01:00:00+00:00,GBP_JPY,213.05,213.144,213.034,213.104
2026-05-20 02:00:00+00:00,GBP_JPY,213.104,213.125,213.041,213.044
2026-05-20 03:00:00+00:00,GBP_JPY,213.044,213.135,212.857,212.878
2026-05-20 04:00:00+00:00,GBP_JPY,212.879,212.942,212.779,212.893
2026-05-20 05:00:00+00:00,GBP_JPY,212.893,212.934,212.753,212.806
2026-05-20 06:00:00+00:00,GBP_JPY,212.805,212.938,212.764,212.879
2026-05-20 07:00:00+00:00,GBP_JPY,212.879,212.956,212.829,212.88
2026-05-20 08:00:00+00:00,GBP_JPY,212.88,212.955,212.82,212.889
2026-05-20 09:00:00+00:00,GBP_JPY,212.886,213.003,212.624,212.812
2026-05-20 10:00:00+00:00,GBP_JPY,212.812,212.982,212.748,212.909
2026-05-20 11:00:00+00:00,GBP_JPY,212.915,212.996,212.783,212.824
2026-05-20 12:00:00+00:00,GBP_JPY,212.828,212.952,212.82,212.87
2026-05-20 13:00:00+00:00,GBP_JPY,212.868,213.025,212.835,213.003
2026-05-20 14:00:00+00:00,GBP_JPY,213.003,213.169,212.986,213.098
2026-05-20 15:00:00+00:00,GBP_JPY,213.098,213.168,213.019,213.038
2026-05-20 16:00:00+00:00,GBP_JPY,213.037,213.21,213.0,213.077
2026-05-20 17:00:00+00:00,GBP_JPY,213.078,213.457,213.001,213.402
2026-05-20 18:00:00+00:00,GBP_JPY,213.402,213.577,213.275,213.501
2026-05-20 19:00:00+00:00,GBP_JPY,213.501,213.595,213.46,213.497
2026-05-20 20:00:00+00:00,GBP_JPY,213.498,213.611,213.485,213.514
2026-05-20 21:00:00+00:00,GBP_JPY,213.514,213.578,213.481,213.517
2026-05-20 22:00:00+00:00,GBP_JPY,213.518,213.585,213.456,213.464
2026-05-20 23:00:00+00:00,GBP_JPY,213.464,213.554,213.442,213.505
2026-05-21 00:00:00+00:00,GBP_JPY,213.435,213.473,213.325,213.382
2026-05-21 01:00:00+00:00,GBP_JPY,213.382,213.485,213.38,213.429
2026-05-21 02:00:00+00:00,GBP_JPY,213.429,213.475,213.419,213.441
2026-05-21 03:00:00+00:00,GBP_JPY,213.442,213.512,213.382,213.467
2026-05-21 04:00:00+00:00,GBP_JPY,213.467,213.562,213.411,213.445
2026-05-21 05:00:00+00:00,GBP_JPY,213.445,213.476,213.286,213.43
2026-05-21 06:00:00+00:00,GBP_JPY,213.429,213.485,213.403,213.44
2026-05-21 07:00:00+00:00,GBP_JPY,213.439,213.566,213.428,213.551
2026-05-21 08:00:00+00:00,GBP_JPY,213.551,213.608,213.508,213.592
2026-05-21 09:00:00+00:00,GBP_JPY,213.591,213.7,213.582,213.685
2026-05-21 10:00:00+00:00,GBP_JPY,213.688,213.763,213.373,213.563
2026-05-21 11:00:00+00:00,GBP_JPY,213.563,213.82,213.497,213.591
2026-05-21 12:00:00+00:00,GBP_JPY,213.594,213.724,213.56,213.691
2026-05-21 13:00:00+00:00,GBP_JPY,213.691,213.777,213.449,213.613
2026-05-21 14:00:00+00:00,GBP_JPY,213.613,213.763,213.559,213.611
2026-05-21 15:00:00+00:00,GBP_JPY,213.611,213.657,213.461,213.489
2026-05-21 16:00:00+00:00,GBP_JPY,213.489,213.582,213.314,213.423
2026-05-21 17:00:00+00:00,GBP_JPY,213.423,213.489,213.311,213.456
2026-05-21 18:00:00+00:00,GBP_JPY,213.454,213.498,213.282,213.369
2026-05-21 19:00:00+00:00,GBP_JPY,213.369,213.395,213.304,213.376
